Title;Time;Owner;Asset Name;Severity;Status;Solution;Results
SUSE Enterprise Linux Security Update for sqlite3 (SUSE-SU-2026:0432-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0432-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024116.html);"#table cols=""3""
Package Installed_Version Required_Version
sqlite3-tcl 3.50.2-150000.3.33.1.x86__64 3.51.2-150000.3.36.1
libsqlite3-0 3.50.2-150000.3.33.1.x86__64 3.51.2-150000.3.36.1
"
SUSE Enterprise Linux Security Update for glib2 (SUSE-SU-2026:0373-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0373-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024047.html);"#table cols=""3""
Package Installed_Version Required_Version
libgobject-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.35.1
libgio-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.35.1
libgmodule-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.35.1
libglib-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.35.1
libgthread-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.35.1
glib2-tools 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.35.1
glib2-lang 2.78.6-150600.4.16.1.noarch 2.78.6-150600.4.35.1
"
SUSE Enterprise Linux Security Update for libpng16 (SUSE-SU-2026:0364-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0364-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024034.html);"#table cols=""3""
Package Installed_Version Required_Version
libpng16-16 1.6.40-150600.1.3.x86__64 1.6.40-150600.3.9.1
"
SUSE Enterprise Linux Security Update for abseil-cpp (SUSE-SU-2026:0338-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0338-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023984.html);"#table cols=""3""
Package Installed_Version Required_Version
libabsl2401__0__0 20240116.3-150600.19.3.15.x86__64 20240116.3-150600.19.6.1
"
SUSE Enterprise Linux Security Update for openjpeg2 (SUSE-SU-2026:0330-1);INFRA;Armando Junior;srv10las080;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0330-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023982.html);"#table cols=""3""
Package Installed_Version Required_Version
libopenjp2-7 2.3.0-150000.3.21.1.x86__64 2.3.0-150000.3.24.1
"
SUSE Enterprise Linux Security Update for glib2 (SUSE-SU-2026:0286-1);INFRA;Armando Junior;srv10las080;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0286-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023912.html);"#table cols=""3""
Package Installed_Version Required_Version
libglib-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.28.1
libgmodule-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.28.1
libgobject-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.28.1
libgthread-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.28.1
glib2-tools 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.28.1
libgio-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.28.1
glib2-lang 2.78.6-150600.4.16.1.noarch 2.78.6-150600.4.28.1
"
SUSE Enterprise Linux Security Update for harfbuzz (SUSE-SU-2026:0287-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0287-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023911.html);"#table cols=""3""
Package Installed_Version Required_Version
libharfbuzz0 8.3.0-150600.1.3.x86__64 8.3.0-150600.3.3.1
"
SUSE Enterprise Linux Security Update for avahi (SUSE-SU-2026:0259-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0259-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023889.html);"#table cols=""3""
Package Installed_Version Required_Version
libavahi-glib1 0.8-150600.15.9.1.x86__64 0.8-150600.15.12.1
libavahi-client3 0.8-150600.15.9.1.x86__64 0.8-150600.15.12.1
libavahi-common3 0.8-150600.15.9.1.x86__64 0.8-150600.15.12.1
"
SUSE Enterprise Linux Security Update for openldap2_5 (SUSE-SU-2026:0256-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0256-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023892.html);"#table cols=""3""
Package Installed_Version Required_Version
libldap-2__5-0 2.5.20+10-150500.11.35.1.x86__64 2.5.20+11-150500.11.38.1
"
SUSE Enterprise Linux Security Update for librsvg (SUSE-SU-2026:0243-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0243-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023846.html);"#table cols=""3""
Package Installed_Version Required_Version
gdk-pixbuf-loader-rsvg 2.57.1-150600.1.7.x86__64 2.57.4-150600.3.3.1
librsvg-2-2 2.57.1-150600.1.7.x86__64 2.57.4-150600.3.3.1
"
SUSE Enterprise Linux Security Update for util-linux (SUSE-SU-2026:0230-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0230-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023855.html);"#table cols=""3""
Package Installed_Version Required_Version
util-linux-systemd 2.40.4-150700.2.4.x86__64 2.40.4-150700.4.3.1
libblkid1 2.40.4-150700.2.4.x86__64 2.40.4-150700.4.3.1
libfdisk1 2.40.4-150700.2.4.x86__64 2.40.4-150700.4.3.1
libsmartcols1 2.40.4-150700.2.4.x86__64 2.40.4-150700.4.3.1
libuuid1 2.40.4-150700.2.4.x86__64 2.40.4-150700.4.3.1
util-linux 2.40.4-150700.2.4.x86__64 2.40.4-150700.4.3.1
libmount1 2.40.4-150700.2.4.x86__64 2.40.4-150700.4.3.1
util-linux-tty-tools 2.40.4-150700.2.4.x86__64 2.40.4-150700.4.3.1
util-linux-lang 2.40.4-150700.2.4.noarch 2.40.4-150700.4.3.1
"
SUSE Enterprise Linux Security Update for busybox (SUSE-SU-2026:0235-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0235-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023850.html);"#table cols=""3""
Package Installed_Version Required_Version
busybox-static 1.37.0-150700.18.4.1.x86__64 1.37.0-150700.18.10.1
"
SUSE Enterprise Linux Security Update for curl (SUSE-SU-2026:0221-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0221-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023864.html);"#table cols=""3""
Package Installed_Version Required_Version
libcurl4 8.14.1-150600.4.28.1.x86__64 8.14.1-150700.7.11.1
curl 8.14.1-150600.4.28.1.x86__64 8.14.1-150700.7.11.1
"
Azure Connected Machine Agent Elevation of Privilege Vulnerability - January 2026;INFRA;Armando Junior;srv10las080;3;ACTIVE;"Customers are advised to refer to 
CVE-2026-21224
for more information on these vulnerabilities and their patches.(Customers are advised to refer to 
https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2026-21224
for more information on these vulnerabilities and their patches.)";"azcmagent version
azcmagent version  1.57.03197.640
"
SUSE Enterprise Linux Security Update for cups (SUSE-SU-2025:4425-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4425-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-December/023570.html);"#table cols=""3""
Package Installed_Version Required_Version
libcupsmime1 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.83.1
libcupscgi1 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.83.1
libcupsimage2 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.83.1
cups 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.83.1
cups-config 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.83.1
libcupsppdc1 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.83.1
libcups2 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.83.1
cups-client 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.83.1
"
SUSE Enterprise Linux Security Update for poppler (SUSE-SU-2025:4434-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4434-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-December/023581.html);"#table cols=""3""
Package Installed_Version Required_Version
libpoppler-cpp0 24.03.0-150600.3.19.1.x86__64 24.03.0-150600.3.27.1
libpoppler135 24.03.0-150600.3.19.1.x86__64 24.03.0-150600.3.27.1
libpoppler-cpp0 24.03.0-150600.3.19.1.x86__64 24.03.0-150600.3.27.1
poppler-tools 24.03.0-150600.3.19.1.x86__64 24.03.0-150600.3.27.1
"
SUSE Enterprise Linux Security Update for rsync (SUSE-SU-2025:4511-1);INFRA;Armando Junior;srv10las080;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4511-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-December/023645.html);"#table cols=""3""
Package Installed_Version Required_Version
rsync 3.2.7-150600.3.11.1.x86__64 3.2.7-150600.3.14.1
"
SUSE Enterprise Linux Security Update for xkbcomp (SUSE-SU-2025:4426-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4426-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-December/023569.html);"#table cols=""3""
Package Installed_Version Required_Version
xkbcomp 1.4.1-150000.3.3.2.x86__64 1.4.1-150000.3.6.1
"
SUSE Enterprise Linux Security Update for python3 (SUSE-SU-2025:4368-1);INFRA;Armando Junior;srv10las080;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4368-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-December/023523.html);"#table cols=""3""
Package Installed_Version Required_Version
python3-dbm 3.6.15-150300.10.97.2.x86__64 3.6.15-150300.10.100.1
python3-curses 3.6.15-150300.10.97.2.x86__64 3.6.15-150300.10.100.1
python3 3.6.15-150300.10.97.2.x86__64 3.6.15-150300.10.100.1
python3-base 3.6.15-150300.10.97.1.x86__64 3.6.15-150300.10.100.1
libpython3__6m1__0 3.6.15-150300.10.97.1.x86__64 3.6.15-150300.10.100.1
"
SUSE Enterprise Linux Security Update for cups (SUSE-SU-2025:4319-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4319-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-December/023444.html);"#table cols=""3""
Package Installed_Version Required_Version
cups-client 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.80.1
libcupsmime1 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.80.1
cups 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.80.1
libcups2 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.80.1
cups-config 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.80.1
libcupsimage2 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.80.1
libcupscgi1 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.80.1
libcupsppdc1 2.2.7-150000.3.72.1.x86__64 2.2.7-150000.3.80.1
"
SUSE Enterprise Linux Security Update for grub2 (SUSE-SU-2025:4305-1);INFRA;Armando Junior;srv10las080;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4305-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023439.html);"#table cols=""3""
Package Installed_Version Required_Version
grub2 2.12-150700.19.16.1.x86__64 2.12-150700.19.19.1
grub2-snapper-plugin 2.12-150700.19.16.1.noarch 2.12-150700.19.19.1
grub2-i386-pc 2.12-150700.19.16.1.noarch 2.12-150700.19.19.1
grub2-systemd-sleep-plugin 2.12-150700.19.16.1.noarch 2.12-150700.19.19.1
grub2-x86__64-efi 2.12-150700.19.16.1.noarch 2.12-150700.19.19.1
"
SUSE Enterprise Linux Security Update for glib2 (SUSE-SU-2025:4308-1);INFRA;Armando Junior;srv10las080;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4308-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023438.html);"#table cols=""3""
Package Installed_Version Required_Version
libgthread-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.22.1
libgmodule-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.22.1
libgobject-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.22.1
libgio-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.22.1
libglib-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.22.1
glib2-tools 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.22.1
glib2-lang 2.78.6-150600.4.16.1.noarch 2.78.6-150600.4.22.1
"
SUSE Enterprise Linux Security Update for curl (SUSE-SU-2025:4300-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4300-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023440.html);"#table cols=""3""
Package Installed_Version Required_Version
curl 8.14.1-150600.4.28.1.x86__64 8.14.1-150700.7.5.1
libcurl4 8.14.1-150600.4.28.1.x86__64 8.14.1-150700.7.5.1
"
SUSE Enterprise Linux Security Update for elfutils (SUSE-SU-2025:4092-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4092-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023341.html);"#table cols=""3""
Package Installed_Version Required_Version
elfutils 0.185-150400.5.3.1.x86__64 0.185-150400.5.8.3
libelf1 0.185-150400.5.3.1.x86__64 0.185-150400.5.8.3
libasm1 0.185-150400.5.3.1.x86__64 0.185-150400.5.8.3
libdw1 0.185-150400.5.3.1.x86__64 0.185-150400.5.8.3
elfutils-lang 0.185-150400.5.3.1.noarch 0.185-150400.5.8.3
"
SUSE Enterprise Linux Security Update for cups-filters (SUSE-SU-2025:4158-1);INFRA;Armando Junior;srv10las080;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4158-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023312.html);"#table cols=""3""
Package Installed_Version Required_Version
cups-filters 1.25.0-150200.3.22.1.x86__64 1.25.0-150200.3.25.1
"
SUSE Enterprise Linux Security Update for ghostscript (SUSE-SU-2025:4148-1);INFRA;Armando Junior;srv10las080;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4148-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023308.html);"#table cols=""3""
Package Installed_Version Required_Version
ghostscript 9.52-150000.206.1.x86__64 9.52-150000.211.1
ghostscript-x11 9.52-150000.206.1.x86__64 9.52-150000.211.1
"
SUSE Enterprise Linux Security Update for openssh (SUSE-SU-2025:4067-1);INFRA;Armando Junior;srv10las080;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4067-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023268.html);"#table cols=""3""
Package Installed_Version Required_Version
openssh 9.6p1-150600.6.29.2.x86__64 9.6p1-150600.6.34.1
openssh-server 9.6p1-150600.6.29.2.x86__64 9.6p1-150600.6.34.1
openssh-common 9.6p1-150600.6.29.2.x86__64 9.6p1-150600.6.34.1
openssh-clients 9.6p1-150600.6.29.2.x86__64 9.6p1-150600.6.34.1
"
SUSE Enterprise Linux Security Update for libxslt (SUSE-SU-2025:3875-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3875-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-October/023084.html);"#table cols=""3""
Package Installed_Version Required_Version
libxslt1 1.1.34-150400.3.6.1.x86__64 1.1.34-150400.3.13.1
"
SUSE Enterprise Linux Security Update for chrony (SUSE-SU-2025:3794-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3794-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-October/022999.html);"#table cols=""3""
Package Installed_Version Required_Version
chrony 4.1-150400.21.5.7.x86__64 4.1-150400.21.8.1
chrony-pool-suse 4.1-150400.21.5.7.noarch 4.1-150400.21.8.1
"
SUSE Enterprise Linux Security Update for poppler (SUSE-SU-2025:3779-1);INFRA;Armando Junior;srv10las080;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3779-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-October/023010.html);"#table cols=""3""
Package Installed_Version Required_Version
libpoppler135 24.03.0-150600.3.19.1.x86__64 24.03.0-150600.3.24.1
poppler-tools 24.03.0-150600.3.19.1.x86__64 24.03.0-150600.3.24.1
libpoppler-cpp0 24.03.0-150600.3.19.1.x86__64 24.03.0-150600.3.24.1
libpoppler-cpp0 24.03.0-150600.3.19.1.x86__64 24.03.0-150600.3.24.1
"
SUSE Enterprise Linux Security Update for libqt5-qtbase (SUSE-SU-2025:3723-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3723-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-October/022969.html);"#table cols=""3""
Package Installed_Version Required_Version
libQt5Core5 5.15.12+kde151-150600.3.6.1.x86__64 5.15.12+kde151-150600.3.9.1
libQt5Gui5 5.15.12+kde151-150600.3.6.1.x86__64 5.15.12+kde151-150600.3.9.1
libQt5Network5 5.15.12+kde151-150600.3.6.1.x86__64 5.15.12+kde151-150600.3.9.1
libQt5Widgets5 5.15.12+kde151-150600.3.6.1.x86__64 5.15.12+kde151-150600.3.9.1
libQt5DBus5 5.15.12+kde151-150600.3.6.1.x86__64 5.15.12+kde151-150600.3.9.1
"
SUSE Enterprise Linux Security Update for protobuf (SUSE-SU-2025:3722-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3722-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-October/022970.html);"#table cols=""3""
Package Installed_Version Required_Version
python3-protobuf 3.9.2-150200.4.24.1.x86__64 3.9.2-150200.4.27.1
"
SUSE Enterprise Linux Security Update for krb5 (SUSE-SU-2025:3699-1);INFRA;Armando Junior;srv10las080;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3699-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-October/022956.html);"#table cols=""3""
Package Installed_Version Required_Version
krb5 1.20.1-150600.11.11.2.x86__64 1.20.1-150600.11.14.1
"
Allowed Null Session;INFRA;Armando Junior;srv10wbd015;3;ACTIVE;"To disable or restrict null session, please refer to Microsoft: RestrictNullSessAccess for further details.

Please also refer to Microsoft: RestrictAnonymous for further details.(https://learn.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/network-access-restrict-anonymous-access-to-named-pipes-and-shares

https://learn.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/network-access-do-not-allow-anonymous-enumeration-of-sam-accounts-and-shares)";"HKLM\SYSTEM\CurrentControlSet\Control\ProductOptions ProductType = ServerNT 
HKLM\SYSTEM\CurrentControlSet\Control\LSA RestrictAnonymous = 0
"
